DATE,TEMPERATURE
31-01-1901,-0.39375
28-02-1901,0.16875
31-03-1901,7.13125
30-04-1901,10.65
31-05-1901,14.5125
30-06-1901,18.21875
31-07-1901,19.89375
31-08-1901,19.6625
30-09-1901,16.85
31-10-1901,12.38125
30-11-1901,7.70625
31-12-1901,2.45625
31-01-1902,1.46875
28-02-1902,1.825
31-03-1902,6.5875
30-04-1902,10.74375
31-05-1902,15.83125
30-06-1902,19
31-07-1902,19.70625
31-08-1902,19.475
30-09-1902,16.70625
31-10-1902,12.05625
30-11-1902,6.4
31-12-1902,1.475
31-01-1903,-1.05625
28-02-1903,0.28125
31-03-1903,3.08125
30-04-1903,8.9125
31-05-1903,14.0625
30-06-1903,19.1875
31-07-1903,19.4625
31-08-1903,19.0125
30-09-1903,17.4
31-10-1903,12.6875
30-11-1903,6.05625
31-12-1903,1.50625
31-01-1904,-1.95625
29-02-1904,1.95625
31-03-1904,5.79375
30-04-1904,11.1875
31-05-1904,14.8
30-06-1904,19.5625
31-07-1904,19.875
31-08-1904,19.3875
30-09-1904,16.29375
31-10-1904,11.15625
30-11-1904,6.7625
31-12-1904,2.60625
31-01-1905,-1.7625
28-02-1905,-3.275
31-03-1905,1.86875
30-04-1905,9.03125
31-05-1905,15.83125
30-06-1905,19.175
31-07-1905,20.2375
31-08-1905,19.74375
30-09-1905,16.94375
31-10-1905,12.85625
30-11-1905,7.4625
31-12-1905,1.71875
31-01-1906,-1.8375
28-02-1906,-0.875
31-03-1906,4.5125
30-04-1906,9.98125
31-05-1906,16.31875
30-06-1906,18.9375
31-07-1906,20.325
31-08-1906,19.91875
30-09-1906,16.34375
31-10-1906,12.69375
30-11-1906,7.66875
31-12-1906,3.7
31-01-1907,1.825
28-02-1907,-0.625
31-03-1907,3.34375
30-04-1907,10.09375
31-05-1907,13.3125
30-06-1907,17.41875
31-07-1907,20.19375
31-08-1907,19.08125
30-09-1907,16.59375
31-10-1907,11.7
30-11-1907,6.8
31-12-1907,1.45
31-01-1908,0.91875
29-02-1908,0.81875
31-03-1908,5.2625
30-04-1908,11.48125
31-05-1908,14.73125
30-06-1908,19.14375
31-07-1908,20.35
31-08-1908,18.625
30-09-1908,15.99375
31-10-1908,10.88125
30-11-1908,6.51875
31-12-1908,1.75625
31-01-1909,-1.76875
28-02-1909,-0.54375
31-03-1909,6.11875
30-04-1909,11.2375
31-05-1909,15.00625
30-06-1909,18.73125
31-07-1909,19.16875
31-08-1909,19.64375
30-09-1909,15.70625
31-10-1909,11.9125
30-11-1909,8.4125
31-12-1909,2.325
31-01-1910,0.0625
28-02-1910,1.2625
31-03-1910,4.74375
30-04-1910,9.725
31-05-1910,15.8125
30-06-1910,18.7
31-07-1910,19.80625
31-08-1910,19.43125
30-09-1910,16.7625
31-10-1910,11.63125
30-11-1910,5.83125
31-12-1910,-0.275
31-01-1911,0.1375
28-02-1911,1.05
31-03-1911,3.9875
30-04-1911,10.4125
31-05-1911,15.81875
30-06-1911,19.45
31-07-1911,20.31875
31-08-1911,19.65625
30-09-1911,17.025
31-10-1911,12.03125
30-11-1911,4.40625
31-12-1911,1.1625
31-01-1912,0.28125
29-02-1912,2.36875
31-03-1912,5.1625
30-04-1912,11.4875
31-05-1912,15.0875
30-06-1912,19.375
31-07-1912,20.6875
31-08-1912,19.00625
30-09-1912,15.18125
31-10-1912,12.425
30-11-1912,5.8875
31-12-1912,1.84375
31-01-1913,1.15
28-02-1913,0.4375
31-03-1913,3.175
30-04-1913,10.66875
31-05-1913,14.75625
30-06-1913,18.15
31-07-1913,19.875
31-08-1913,19.09375
30-09-1913,16.13125
31-10-1913,12.1
30-11-1913,5.60625
31-12-1913,1.7375
31-01-1914,2.2625
28-02-1914,0.44375
31-03-1914,4.96875
30-04-1914,10.76875
31-05-1914,15.225
30-06-1914,19.9625
31-07-1914,20.28125
31-08-1914,19.3125
30-09-1914,17.53125
31-10-1914,10.63125
30-11-1914,6.5875
31-12-1914,0.75
31-01-1915,-0.1
28-02-1915,-0.51875
31-03-1915,7.06875
30-04-1915,11.40625
31-05-1915,17.80625
30-06-1915,19.4
31-07-1915,20.125
31-08-1915,20.01875
30-09-1915,18.15625
31-10-1915,13.35625
30-11-1915,7.43125
31-12-1915,2.2375
31-01-1916,1.25625
29-02-1916,2.22E-16
31-03-1916,8.24375
30-04-1916,12.44375
31-05-1916,14.625
30-06-1916,18.80625
31-07-1916,19.8625
31-08-1916,19.7625
30-09-1916,16.58125
31-10-1916,12.2125
30-11-1916,4.3875
31-12-1916,1.175
31-01-1917,1.11875
28-02-1917,3.2
31-03-1917,5.93125
30-04-1917,9.1375
31-05-1917,14.1125
30-06-1917,18.53125
31-07-1917,19.6125
31-08-1917,18.88125
30-09-1917,15.98125
31-10-1917,11.0125
30-11-1917,5.25
31-12-1917,1.91875
31-01-1918,-1.21875
28-02-1918,1.25625
31-03-1918,5.11875
30-04-1918,9.0375
31-05-1918,16.95
30-06-1918,19.0625
31-07-1918,20.475
31-08-1918,20.0875
30-09-1918,16.23125
31-10-1918,11.86875
30-11-1918,5.3
31-12-1918,-0.06875
31-01-1919,-1.7
28-02-1919,-1.15
31-03-1919,5.05625
30-04-1919,10.325
31-05-1919,14.54375
30-06-1919,19.6375
31-07-1919,19.96875
31-08-1919,18.975
30-09-1919,15.29375
31-10-1919,11.5
30-11-1919,5.7125
31-12-1919,1.28125
31-01-1920,0.30625
29-02-1920,-1.04375
31-03-1920,4.65625
30-04-1920,9.225
31-05-1920,11.675
30-06-1920,17.31875
31-07-1920,19.70625
31-08-1920,18.75625
30-09-1920,16.60625
31-10-1920,12.475
30-11-1920,6.35
31-12-1920,0.91875
31-01-1921,0.15
28-02-1921,-0.3875
31-03-1921,7.225
30-04-1921,12.85
31-05-1921,16.11875
30-06-1921,18.21875
31-07-1921,20.08125
31-08-1921,18.58125
30-09-1921,16.025
31-10-1921,10.89375
30-11-1921,6.31875
31-12-1921,2.9625
31-01-1922,0.025
28-02-1922,2.25
31-03-1922,7.025
30-04-1922,11.48125
31-05-1922,14.85
30-06-1922,18.4125
31-07-1922,20.13125
31-08-1922,19.49375
30-09-1922,16.18125
31-10-1922,11.125
30-11-1922,6.2125
31-12-1922,2.325
31-01-1923,0.075
28-02-1923,0.4125
31-03-1923,6.38125
30-04-1923,11.5875
31-05-1923,14.24375
30-06-1923,19.49375
31-07-1923,18.9375
31-08-1923,18.8
30-09-1923,15.45
31-10-1923,10.80625
30-11-1923,5.44375
31-12-1923,1.01875
31-01-1924,-0.675
29-02-1924,1.11875
31-03-1924,6.775
30-04-1924,11.2875
31-05-1924,11.66875
30-06-1924,19.1625
31-07-1924,20.6125
31-08-1924,19.3
30-09-1924,15.4125
31-10-1924,11.775
30-11-1924,5.64375
31-12-1924,2.20625
31-01-1925,-1.4875
28-02-1925,-1.3625
31-03-1925,6.825
30-04-1925,12.4875
31-05-1925,14.93125
30-06-1925,18.13125
31-07-1925,19.6875
31-08-1925,18.925
30-09-1925,16.5375
31-10-1925,12.225
30-11-1925,5.0125
31-12-1925,1.94375
31-01-1926,0.8
28-02-1926,2.63125
31-03-1926,5.225
30-04-1926,8.4625
31-05-1926,13.36875
30-06-1926,18.90625
31-07-1926,20.33125
31-08-1926,19.81875
30-09-1926,16.775
31-10-1926,11.4
30-11-1926,3.55625
31-12-1926,1.8625
31-01-1927,-1.46875
28-02-1927,-0.55625
31-03-1927,4.40625
30-04-1927,10.60625
31-05-1927,14.10625
30-06-1927,18.36875
31-07-1927,20.2125
31-08-1927,19.2875
30-09-1927,16.30625
31-10-1927,12.875
30-11-1927,6.26875
31-12-1927,2.5875
31-01-1928,-1.0125
29-02-1928,1.13125
31-03-1928,4.9125
30-04-1928,10.86875
31-05-1928,16.2625
30-06-1928,18.9625
31-07-1928,19.70625
31-08-1928,19.0125
30-09-1928,15.68125
31-10-1928,12.5625
30-11-1928,6.8375
31-12-1928,1.1875
31-01-1929,-1.6375
28-02-1929,-1.06875
31-03-1929,7.725
30-04-1929,12.4625
31-05-1929,15.23125
30-06-1929,18.7625
31-07-1929,19.475
31-08-1929,19.0625
30-09-1929,17.29375
31-10-1929,11.14375
30-11-1929,6.375
31-12-1929,-1.40625
31-01-1930,-2.8125
28-02-1930,-0.61875
31-03-1930,6.1625
30-04-1930,9.7
31-05-1930,14.95625
30-06-1930,18.23125
31-07-1930,19.84375
31-08-1930,19.23125
30-09-1930,15.9125
31-10-1930,11.89375
30-11-1930,6.73125
31-12-1930,1.61875
31-01-1931,1.44375
28-02-1931,-1.24375
31-03-1931,6.275
30-04-1931,12.59375
31-05-1931,14.48125
30-06-1931,18.125
31-07-1931,18.45625
31-08-1931,20.06875
30-09-1931,17.025
31-10-1931,12.9875
30-11-1931,6.1
31-12-1931,1.83125
31-01-1932,1.49375
29-02-1932,0.25
31-03-1932,6.88125
30-04-1932,12.29375
31-05-1932,13.825
30-06-1932,19.26875
31-07-1932,20.7
31-08-1932,18.65625
30-09-1932,17.3875
31-10-1932,12.01875
30-11-1932,6.59375
31-12-1932,1.1
31-01-1933,-2.58125
28-02-1933,1.76875
31-03-1933,5.6875
30-04-1933,9.225
31-05-1933,14.7625
30-06-1933,19.26875
31-07-1933,20.55625
31-08-1933,18.16875
30-09-1933,15.725
31-10-1933,11.96875
30-11-1933,6.825
31-12-1933,3.54375
31-01-1934,-2.48125
28-02-1934,3.75
31-03-1934,5.21875
30-04-1934,11.0375
31-05-1934,13.24375
30-06-1934,18.65
31-07-1934,19.725
31-08-1934,19.33125
30-09-1934,17.11875
31-10-1934,11.55
30-11-1934,6.11875
31-12-1934,2.975
31-01-1935,-2.1875
28-02-1935,1.15
31-03-1935,6.05
30-04-1935,7.9625
31-05-1935,14.8
30-06-1935,18.38125
31-07-1935,19.86875
31-08-1935,18.975
30-09-1935,16.6625
31-10-1935,11.48125
30-11-1935,6.4375
31-12-1935,1.825
31-01-1936,-1.19375
29-02-1936,2.3125
31-03-1936,4.625
30-04-1936,10.33125
31-05-1936,17.9875
30-06-1936,18.4375
31-07-1936,19.575
31-08-1936,19.28125
30-09-1936,17.0375
31-10-1936,12.775
30-11-1936,6.125
31-12-1936,1.775
31-01-1937,-0.94375
28-02-1937,1.5875
31-03-1937,5.10625
30-04-1937,9.675
31-05-1937,15.34375
30-06-1937,19.5375
31-07-1937,19.48125
31-08-1937,19.89375
30-09-1937,16.84375
31-10-1937,11.025
30-11-1937,5.5125
31-12-1937,0.6875
31-01-1938,-1.19375
28-02-1938,-1.03125
31-03-1938,5.16875
30-04-1938,11.71875
31-05-1938,17.98125
30-06-1938,18.025
31-07-1938,20.31875
31-08-1938,19.925
30-09-1938,16.46875
31-10-1938,12.3125
30-11-1938,5.35
31-12-1938,2.1625
31-01-1939,0.2375
28-02-1939,0.43125
31-03-1939,2.89375
30-04-1939,8.725
31-05-1939,15.74375
30-06-1939,18.8
31-07-1939,20.19375
31-08-1939,19.7625
30-09-1939,17.60625
31-10-1939,12.85625
30-11-1939,6.7125
31-12-1939,3.55
31-01-1940,1.28125
29-02-1940,2.13125
31-03-1940,5.1875
30-04-1940,10.3375
31-05-1940,15.59375
30-06-1940,19.25625
31-07-1940,20.66875
31-08-1940,18.73125
30-09-1940,16.03125
31-10-1940,12.6375
30-11-1940,7.58125
31-12-1940,2.3875
31-01-1941,-0.525
28-02-1941,2.675
31-03-1941,7.9375
30-04-1941,12.8
31-05-1941,16.75625
30-06-1941,19.16875
31-07-1941,19.96875
31-08-1941,20.225
30-09-1941,16.29375
31-10-1941,15.04375
30-11-1941,7.4
31-12-1941,2.95
31-01-1942,-0.91875
28-02-1942,0.9875
31-03-1942,7.98125
30-04-1942,12.7125
31-05-1942,15.54375
30-06-1942,18.725
31-07-1942,19.7125
31-08-1942,18.8875
30-09-1942,16.15
31-10-1942,12.20625
30-11-1942,8.3875
31-12-1942,1.6625
31-01-1943,-0.35
28-02-1943,1.83125
31-03-1943,6.55625
30-04-1943,10.1875
31-05-1943,14.20625
30-06-1943,18.30625
31-07-1943,19.88125
31-08-1943,19.5375
30-09-1943,17.45625
31-10-1943,12.09375
30-11-1943,7.03125
31-12-1943,3.575
31-01-1944,-0.5875
29-02-1944,0.06875
31-03-1944,6.50625
30-04-1944,11.05
31-05-1944,16.39375
30-06-1944,18.675
31-07-1944,21.125
31-08-1944,19.4875
30-09-1944,15.60625
31-10-1944,11.60625
30-11-1944,6.775
31-12-1944,1.40625
31-01-1945,-2.00625
28-02-1945,-0.225
31-03-1945,6.075
30-04-1945,9.76875
31-05-1945,14.38125
30-06-1945,18.85
31-07-1945,19.9375
31-08-1945,19.53125
30-09-1945,17.1375
31-10-1945,12.4
30-11-1945,7.05
31-12-1945,1.19375
31-01-1946,0.89375
28-02-1946,3.46875
31-03-1946,6.075
30-04-1946,14.29375
31-05-1946,16.85625
30-06-1946,19.15
31-07-1946,20.56875
31-08-1946,19.91875
30-09-1946,17.2375
31-10-1946,13.825
30-11-1946,5.84375
31-12-1946,0.46875
31-01-1947,-1.0875
28-02-1947,1.225
31-03-1947,8.2375
30-04-1947,12.88125
31-05-1947,16.5375
30-06-1947,19.9125
31-07-1947,20.16875
31-08-1947,20.25
30-09-1947,17.39375
31-10-1947,11.91875
30-11-1947,8.06875
31-12-1947,1.88125
31-01-1948,-0.06875
29-02-1948,0.69375
31-03-1948,5.05
30-04-1948,11.7125
31-05-1948,15.80625
30-06-1948,17.99375
31-07-1948,19.89375
31-08-1948,19.1125
30-09-1948,17.06875
31-10-1948,12.66875
30-11-1948,5.59375
31-12-1948,1.5125
31-01-1949,0.5375
28-02-1949,-0.01875
31-03-1949,5.98125
30-04-1949,12.49375
31-05-1949,17.21875
30-06-1949,17.30625
31-07-1949,20.0125
31-08-1949,18.99375
30-09-1949,17.8
31-10-1949,11.78125
30-11-1949,4.925
31-12-1949,1.23125
31-01-1950,0.00625
28-02-1950,-1.64375
31-03-1950,4.61875
30-04-1950,8.9375
31-05-1950,15.225
30-06-1950,19.5625
31-07-1950,20.24375
31-08-1950,19.16875
30-09-1950,15.20625
31-10-1950,11.375
30-11-1950,5.6125
31-12-1950,-0.025
31-01-1951,-0.33125
28-02-1951,0.15625
31-03-1951,6.0875
30-04-1951,8.7875
31-05-1951,14.4125
30-06-1951,17.65625
31-07-1951,19.30625
31-08-1951,19.25
30-09-1951,17.49375
31-10-1951,14.24375
30-11-1951,7.88125
31-12-1951,3.85
31-01-1952,0.575
29-02-1952,2.6375
31-03-1952,5.39375
30-04-1952,12.18125
31-05-1952,15.3125
30-06-1952,18.925
31-07-1952,19.3125
31-08-1952,18.825
30-09-1952,16.9375
31-10-1952,12.3875
30-11-1952,6.4625
31-12-1952,2.29375
31-01-1953,-0.40625
28-02-1953,3.18125
31-03-1953,8.3375
30-04-1953,11.59375
31-05-1953,16.1375
30-06-1953,19.3625
31-07-1953,20.6125
31-08-1953,18.9375
30-09-1953,16.56875
31-10-1953,12.06875
30-11-1953,6.5625
31-12-1953,4.00625
31-01-1954,-1.30625
28-02-1954,0.90625
31-03-1954,6.1875
30-04-1954,11.6875
31-05-1954,16.025
30-06-1954,19.03125
31-07-1954,19.4
31-08-1954,19.60625
30-09-1954,17.0875
31-10-1954,10.525
30-11-1954,6.29375
31-12-1954,1.425
31-01-1955,-0.55625
28-02-1955,2.725
31-03-1955,7.9375
30-04-1955,9.3875
31-05-1955,12.61875
30-06-1955,18.91875
31-07-1955,19.75625
31-08-1955,19.25625
30-09-1955,16.5875
31-10-1955,11.78125
30-11-1955,6.99375
31-12-1955,3.125
31-01-1956,-0.6125
29-02-1956,1.9375
31-03-1956,5.8625
30-04-1956,11.78125
31-05-1956,18.1125
30-06-1956,18.625
31-07-1956,19.8125
31-08-1956,18.5375
30-09-1956,17.64375
31-10-1956,11.575
30-11-1956,6.4625
31-12-1956,2.3875
31-01-1957,-0.5125
28-02-1957,-0.74375
31-03-1957,5.21875
30-04-1957,8.91875
31-05-1957,12.4375
30-06-1957,17.6875
31-07-1957,19.98125
31-08-1957,18.45625
30-09-1957,16.1
31-10-1957,11.4375
30-11-1957,6.325
31-12-1957,1.81875
31-01-1958,1.775
28-02-1958,1.2875
31-03-1958,6.975
30-04-1958,13.09375
31-05-1958,14.16875
30-06-1958,18.7375
31-07-1958,20.4
31-08-1958,19.0625
30-09-1958,16.50625
31-10-1958,12.09375
30-11-1958,6.89375
31-12-1958,3.51875
31-01-1959,-0.61875
28-02-1959,-0.25625
31-03-1959,6.6125
30-04-1959,11.18125
31-05-1959,14.0625
30-06-1959,19.4
31-07-1959,19.24375
31-08-1959,19.68125
30-09-1959,17.60625
31-10-1959,13.88125
30-11-1959,6.3375
31-12-1959,2.33125
31-01-1960,-0.0875
29-02-1960,4.4875
31-03-1960,4.975
30-04-1960,9.375
