,DATE,AVG MAX TEMPERATURE
0,1,5.4916666665
1,2,6.124999999999999
2,3,13.283333330749999
3,4,17.341666664999998
4,5,21.866666665
5,6,25.624999997499998
6,7,25.866666667500002
7,8,25.416666667499996
8,9,23.85
9,10,20.116666665
10,11,15.225000000749999
11,12,8.750000000750001
12,13,7.35833333225
13,14,7.7583333324999995
14,15,12.69999999925
15,16,17.4166666675
16,17,23.2166666675
17,18,26.4833333325
18,19,25.7
19,20,25.249999997499998
20,21,23.7166666675
21,22,19.8416666675
22,23,13.91666666825
23,24,7.76666666575
24,25,4.75833333425
25,26,6.24999999925
26,27,9.141666666499999
27,28,15.5666666675
28,29,21.4000000025
29,30,26.6500000025
30,31,25.433333335
31,32,24.799999999999997
32,33,24.4083333325
33,34,20.5
34,35,13.54999999925
35,36,7.73333333325
36,37,3.77499999925
37,38,7.90833333425
38,39,11.933333335
39,40,17.83333333
40,41,22.191666665
41,42,27.025000000000002
42,43,25.866666665
43,44,25.1833333325
44,45,23.291666667500003
45,46,18.883333335000003
46,47,14.35
47,48,8.9083333335
48,49,4.108333332499999
49,50,2.624999999
50,51,8.0
51,52,15.774999999999999
52,53,23.2
53,54,26.625
54,55,26.2416666675
55,56,25.4999999975
56,57,23.96666667
57,58,20.6666666675
58,59,14.96666666825
59,60,8.033333332749999
60,61,3.9833333342500006
61,62,5.06666666675
62,63,10.6666666675
63,64,16.60000000075
64,65,23.650000002499997
65,66,26.4166666675
66,67,26.308333332500002
67,68,25.716666664999998
68,69,23.349999999999998
69,70,20.4916666675
70,71,15.1666666675
71,72,9.983333332499999
72,73,7.658333333500001
73,74,5.291666665749999
74,75,9.500000000750001
75,76,16.825000000750002
76,77,20.666666665
77,78,24.8416666675
78,79,26.1583333325
79,80,24.858333332500003
80,81,23.591666665
81,82,19.383333332499998
82,83,14.241666669249998
83,84,7.7250000000000005
84,85,6.791666665749999
85,86,6.7250000000000005
86,87,11.39166666675
87,88,18.1333333325
88,89,22.066666667499998
89,90,26.5500000025
90,91,26.3666666675
91,92,24.4
92,93,23.008333335000003
93,94,18.6166666675
94,95,14.0749999975
95,96,8.050000000999999
96,97,4.066666667500001
97,98,5.3833333342500005
98,99,12.25
99,100,17.9916666675
100,101,22.3583333325
101,102,26.233333335000005
102,103,25.166666665
103,104,25.416666667500003
104,105,22.6999999975
105,106,19.6749999975
106,107,15.93333333175
107,108,8.59166666575
108,109,5.9083333335
109,110,7.233333333999999
110,111,10.850000000000001
111,112,16.41666666575
112,113,23.2083333325
113,114,26.1833333325
114,115,25.8416666675
115,116,25.2083333325
116,117,23.774999997499997
117,118,19.4333333325
118,119,13.341666666750001
119,120,5.85
120,121,5.95833333425
121,122,6.9749999997500005
122,123,10.149999999999999
123,124,17.066666667499998
124,125,23.1499999975
125,126,26.916666665
126,127,26.275000000000002
127,128,25.408333335000002
128,129,24.075000000000003
129,130,19.791666665
130,131,11.89166666675
131,132,7.3583333325
132,133,6.141666666
133,134,8.30833333425
134,135,11.283333335
135,136,18.183333332500002
136,137,22.4333333325
137,138,26.8166666675
138,139,26.6833333325
139,140,24.7583333325
140,141,22.191666665
141,142,20.233333334999998
142,143,13.36666666575
143,144,8.1
144,145,7.0666666665
145,146,6.37499999925
146,147,9.34166666675
147,148,17.325000000000003
148,149,22.208333335
149,150,25.649999997500004
150,151,25.908333335000002
151,152,24.8416666675
152,153,23.150000000000002
153,154,19.8999999975
154,155,13.14166666575
155,156,8.058333334
156,157,8.350000001
157,158,6.933333333249999
158,159,11.4916666675
159,160,17.683333335
160,161,22.6
161,162,27.616666667500002
162,163,26.725
163,164,25.091666664999998
164,165,24.583333335
165,166,18.45
166,167,13.20833333425
167,168,6.97500000025
168,169,5.783333333500001
169,170,5.4833333325
170,171,13.283333331749999
171,172,18.54166667
172,173,25.5333333325
173,174,26.833333335
174,175,25.858333332500003
175,176,25.816666665
176,177,25.191666667499998
177,178,21.4166666675
178,179,15.383333330749998
179,180,9.116666666750001
180,181,6.99166666725
181,182,5.691666667250001
182,183,14.5833333325
183,184,19.458333335
184,185,22.1916666675
185,186,25.900000000000002
186,187,26.0999999975
187,188,25.5999999975
188,189,23.6416666675
189,190,20.183333332500002
190,191,12.183333332499998
191,192,7.458333334249999
192,193,7.08333333425
193,194,8.95
194,195,12.66666666825
195,196,16.52499999825
196,197,21.566666667499998
197,198,25.783333332499996
198,199,25.3583333325
199,200,24.633333334999996
200,201,23.0083333325
201,202,18.7999999975
202,203,12.749999998249999
203,204,8.199999999
204,205,4.658333333250001
205,206,7.1833333325
206,207,11.22500000075
207,208,15.73333333575
208,209,24.325000000000003
209,210,26.525
210,211,26.4583333325
211,212,25.8499999975
212,213,23.241666665
213,214,19.683333332500002
214,215,12.774999997500002
215,216,6.13333333325
216,217,4.10000000075
217,218,4.799999999250001
218,219,11.183333335
219,220,17.066666667499998
220,221,21.925
221,222,27.0749999975
222,223,25.9916666675
223,224,24.733333335
224,225,22.3166666675
225,226,19.316666665
226,227,13.26666666575
227,228,7.549999999250001
228,229,6.1583333335
229,230,4.8416666665
230,231,10.808333331750001
231,232,15.858333334250002
232,233,19.041666665
233,234,24.766666667499997
234,235,25.7083333325
235,236,24.5083333325
236,237,23.608333332500003
237,238,20.2666666675
238,239,13.75833333325
239,240,7.049999999250001
240,241,6.025
241,242,5.51666666575
242,243,13.27500000075
243,244,19.5083333325
244,245,23.391666665
245,246,25.6500000025
246,247,26.075000000000003
247,248,24.325
248,249,23.050000000000004
249,250,18.7333333325
250,251,13.83333333575
251,252,9.216666666750001
252,253,5.91666666675
253,254,8.17499999925
254,255,13.150000001750001
255,256,18.174999999999997
256,257,22.175
257,258,25.85
258,259,26.108333334999998
259,260,25.2416666675
260,261,23.191666665
261,262,18.933333332500002
262,263,13.733333333250002
263,264,8.62499999925
264,265,5.92499999925
265,266,6.350000001
266,267,12.5083333325
267,268,18.2249999975
268,269,21.591666665
269,270,26.9
270,271,24.9083333325
271,272,24.575
272,273,22.4333333325
273,274,18.6083333325
274,275,12.966666667499998
275,276,7.2416666667500005
276,277,5.21666666575
277,278,7.083333334
278,279,12.883333333249999
279,280,17.9500000025
280,281,19.0
281,282,26.558333332500002
282,283,26.6166666675
283,284,25.0583333325
284,285,22.43333333
285,286,19.5916666675
286,287,13.14999999825
287,288,8.4083333325
288,289,4.33333333275
289,290,4.558333334
290,291,13.016666666750002
291,292,19.1666666675
292,293,22.3083333325
293,294,25.6249999975
294,295,25.733333335
295,296,24.6750000025
296,297,23.55
297,298,20.05
298,299,12.5499999975
299,300,8.25000000075
300,301,6.7
301,302,8.566666665
302,303,11.39166666575
303,304,15.16666666575
304,305,20.758333332499998
305,306,26.3250000025
306,307,26.3333333325
307,308,25.5916666675
308,309,23.8083333325
309,310,19.2416666675
310,311,11.0000000015
311,312,8.108333332499999
312,313,4.2916666674999995
313,314,5.3499999992500005
314,315,10.5000000015
315,316,17.308333335
316,317,21.4833333325
317,318,25.808333335
318,319,26.216666670000002
319,320,25.049999999999997
320,321,23.3249999975
321,322,20.7
322,323,13.75833333175
323,324,8.866666666
324,325,4.808333332499999
325,326,7.041666665749999
326,327,10.9999999985
327,328,17.5500000025
328,329,23.608333332500003
329,330,26.4083333325
330,331,25.6833333325
331,332,24.733333332500003
332,333,22.6333333325
333,334,20.325
334,335,14.34166666675
335,336,7.38333333325
336,337,4.15
337,338,4.824999998999999
338,339,13.88333333175
339,340,19.233333335
340,341,22.55
341,342,26.208333335
342,343,25.433333335
343,344,24.825
344,345,24.325000000000003
345,346,18.925
346,347,13.874999999249999
347,348,4.70833333325
348,349,2.9166666675
349,350,5.249999999749999
350,351,12.283333332500002
351,352,16.358333333250002
352,353,22.325000000000003
353,354,25.7083333325
354,355,25.875
355,356,25.2166666675
356,357,22.9
357,358,19.683333335
358,359,14.291666665749998
359,360,7.79166666575
360,361,6.691666667499999
361,362,4.12499999925
362,363,12.43333333425
363,364,19.283333335
364,365,21.3249999975
365,366,25.175000002500003
366,367,24.408333335
367,368,25.741666665
368,369,24.016666667499997
369,370,20.791666667499996
370,371,12.88333333325
371,372,8.025000001
372,373,6.608333332499999
373,374,6.17499999925
374,375,13.116666668249998
375,376,19.266666665
376,377,21.2
377,378,26.483333334999998
378,379,26.8083333325
379,380,24.516666665
380,381,24.3999999975
381,382,19.366666665
382,383,13.63333333325
383,384,7.299999999999999
384,385,3.1333333324999995
385,386,7.7083333325
386,387,11.7416666665
387,388,15.92500000075
388,389,22.525
389,390,26.741666665
390,391,26.633333335
391,392,23.933333332500002
392,393,22.75
393,394,19.9583333325
394,395,14.33333333175
395,396,9.141666664999999
396,397,3.1666666675
397,398,9.7166666665
398,399,11.875000000750001
399,400,17.7000000025
400,401,20.0333333325
401,402,25.891666667500004
402,403,25.7499999975
403,404,25.1500000025
404,405,24.091666670000002
405,406,19.333333335
406,407,13.583333334999999
407,408,9.2416666665
408,409,3.5000000007499996
409,410,7.67499999925
410,411,12.76666666675
411,412,14.35000000075
412,413,22.0999999975
413,414,25.741666665000004
414,415,25.8916666675
415,416,24.775
416,417,23.700000000000003
417,418,19.25
418,419,13.84166666675
419,420,8.0916666675
420,421,4.708333333999999
421,422,8.4083333335
422,423,10.72499999825
423,424,17.0916666675
424,425,25.483333332500003
425,426,26.049999999999997
426,427,25.674999999999997
427,428,25.108333334999998
428,429,24.358333334999998
429,430,20.700000002499998
430,431,13.3583333325
431,432,7.408333334250001
432,433,4.17500000075
433,434,7.41666666775
434,435,11.1166666675
435,436,16.208333332499997
436,437,22.4750000025
437,438,26.85
438,439,25.3666666675
439,440,25.8
440,441,23.499999997499998
441,442,18.1583333325
442,443,13.06666666675
443,444,7.033333334
444,445,4.27500000075
445,446,4.933333333999999
446,447,11.250000000750001
447,448,18.475
448,449,25.633333335
449,450,25.266666665000002
450,451,26.1916666675
451,452,25.741666667500002
452,453,23.5
453,454,19.941666665
454,455,12.49166666575
455,456,8.34166666675
456,457,5.5666666675
457,458,6.466666666749999
458,459,9.058333334
459,460,15.23333333175
460,461,23.208333335
461,462,26.116666665000004
462,463,26.058333335
463,464,25.533333335000002
464,465,24.549999999999997
465,466,20.041666665
466,467,13.8999999975
467,468,9.6749999985
468,469,6.5416666665
469,470,7.4666666675
470,471,11.20833333325
471,472,17.1333333325
472,473,22.9666666675
473,474,26.500000002500002
474,475,26.4583333325
475,476,24.158333332500003
476,477,23.058333335
477,478,19.724999999999998
478,479,14.825000000000001
479,480,8.3416666675
480,481,5.09166666575
481,482,8.524999999250001
482,483,14.14166666575
483,484,19.2000000025
484,485,24.183333335
485,486,26.7833333325
486,487,26.008333335
487,488,26.0166666675
488,489,23.15
489,490,22.7166666675
490,491,14.474999999249999
491,492,8.75833333325
492,493,4.549999999
493,494,6.408333334249999
494,495,14.17500000075
495,496,19.416666669999998
496,497,22.783333335000002
497,498,25.683333335
498,499,25.691666665
499,500,24.5583333325
500,501,23.133333335000003
501,502,19.7083333325
502,503,15.3416666675
503,504,7.475000001
504,505,4.88333333325
505,506,7.250000001
506,507,12.2166666675
507,508,16.90833333175
508,509,21.0833333325
509,510,25.575
510,511,25.975
511,512,25.141666665000002
512,513,24.183333335
513,514,19.6
514,515,13.90833333325
515,516,9.366666667499999
516,517,5.124999999250001
517,518,6.199999999
518,519,13.241666665
519,520,17.6916666675
520,521,23.725
521,522,25.958333332500004
522,523,27.558333332500002
523,524,25.2583333325
524,525,22.650000000000002
525,526,19.341666664999998
526,527,13.54166666575
527,528,6.98333333425
528,529,3.59166666575
529,530,5.60833333275
530,531,12.116666665749998
531,532,16.4666666675
532,533,21.625
533,534,26.1999999975
534,535,25.975
535,536,25.341666670000002
536,537,24.249999997499998
537,538,20.6000000025
538,539,13.97499999925
539,540,7.441666667500001
540,541,6.8666666675000005
541,542,9.549999999999999
542,543,12.24166666575
543,544,21.583333335
544,545,24.5166666675
545,546,26.533333335
546,547,26.6333333325
547,548,25.691666667499998
548,549,24.3500000025
549,550,21.7749999975
550,551,13.341666668250001
551,552,6.725
552,553,5.2416666675000005
553,554,7.449999999999999
554,555,15.07500000075
555,556,19.608333332500003
556,557,23.941666665
557,558,27.2
558,559,26.141666665000002
559,560,26.1916666675
560,561,24.600000002499996
561,562,19.558333335
562,563,15.7083333325
563,564,8.608333334
564,565,6.77500000075
565,566,7.1333333342500005
566,567,11.1583333325
567,568,17.958333335
568,569,22.9916666675
569,570,25.174999999999997
570,571,25.933333330000004
571,572,24.474999999999998
572,573,24.150000000000002
573,574,20.9083333325
574,575,13.291666665
575,576,7.6333333324999995
576,577,6.4833333325
577,578,6.2666666675
578,579,11.97499999925
579,580,19.008333332499998
580,581,24.499999997499998
581,582,24.325
582,583,26.066666665
583,584,24.4166666675
584,585,25.083333332500004
585,586,19.533333335
586,587,12.43333333325
587,588,7.591666665999999
588,589,5.5833333322500005
589,590,4.66666666775
590,591,10.7833333325
591,592,15.616666665750001
592,593,22.8166666675
593,594,26.9
594,595,26.225
595,596,24.8083333325
596,597,22.2666666675
597,598,19.4
598,599,12.974999999249999
599,600,6.816666666500001
600,601,5.625000000749999
601,602,6.39999999925
602,603,12.383333333249999
603,604,15.508333335000001
604,605,21.8333333325
605,606,25.041666665
606,607,25.15
607,608,25.3083333325
608,609,24.891666665
609,610,21.8583333325
610,611,15.283333335
611,612,10.416666666749999
612,613,6.54999999975
613,614,8.72500000075
614,615,11.4833333325
615,616,18.741666665
616,617,22.7833333325
617,618,26.466666664999998
618,619,25.3
619,620,24.316666665
620,621,24.016666667499997
621,622,20.5999999975
622,623,13.79166666575
623,624,8.483333332499999
624,625,5.76666666575
625,626,9.61666666825
626,627,14.21666666675
627,628,18.041666667500003
628,629,23.3749999975
629,630,26.691666665
630,631,26.733333332500003
631,632,24.400000000000002
632,633,23.4333333325
633,634,19.966666664999998
634,635,13.700000001749999
635,636,9.5166666675
636,637,4.2166666675
637,638,6.7416666675
638,639,12.191666665
639,640,18.3250000025
640,641,23.291666665
641,642,26.225
642,643,24.9916666675
643,644,25.049999997500002
644,645,23.908333329999998
645,646,18.375
646,647,13.849999999999998
647,648,7.62500000075
648,649,5.6333333324999995
649,650,8.983333333500001
650,651,13.591666665
651,652,15.866666666750001
652,653,19.45
653,654,26.041666665
654,655,25.6
655,656,24.874999997499998
656,657,23.366666664999997
657,658,19.4166666675
658,659,14.783333333249999
659,660,9.416666668499998
660,661,5.39999999925
661,662,8.1833333325
662,663,11.775000001749998
663,664,18.516666665
664,665,25.608333332500003
665,666,25.866666667500002
666,667,25.675
667,668,23.7916666675
668,669,24.5166666675
669,670,19.133333335
670,671,14.474999998249999
671,672,8.5
672,673,4.84166666575
673,674,5.1166666665000005
674,675,11.416666667500001
675,676,15.1583333325
676,677,19.2416666675
677,678,24.883333335
678,679,25.6500000025
679,680,24.0500000025
680,681,22.975
681,682,19.06666667
682,683,13.616666665750001
683,684,7.99166666575
684,685,7.575
685,686,7.683333334249999
686,687,13.375000000750001
687,688,19.708333332499997
688,689,21.275
689,690,26.200000002499998
690,691,26.25
691,692,24.616666665
692,693,23.324999997499997
693,694,19.724999999999998
694,695,14.17499999925
695,696,9.366666665750001
696,697,5.216666665999999
697,698,5.333333333250001
698,699,12.74166666825
699,700,18.058333335
700,701,20.858333335
701,702,26.925
702,703,25.08333333
703,704,25.341666664999998
704,705,24.708333335000003
705,706,21.808333335
706,707,13.60833333325
707,708,8.5333333335
708,709,6.1083333325
709,710,10.7083333325
710,711,10.84166666575
711,712,15.7749999975
712,713,22.2083333325
713,714,27.0
714,715,25.8333333325
715,716,25.741666665
716,717,23.9416666675
717,718,20.375
718,719,13.02500000075
719,720,8.1916666675
720,721,6.975000000750001
721,722,5.51666666575
722,723,12.725000000749999
723,724,18.033333335
724,725,23.0916666675
725,726,26.616666667500002
726,727,26.1333333325
727,728,24.9666666675
728,729,24.766666665
729,730,19.883333332499998
730,731,13.024999999250001
731,732,7.416666666
732,733,5.78333333325
733,734,8.466666666750001
